date,est_jour_ferie,nom_jour_ferie
1987-12-25,True,Noël
1987-12-26,True,Saint Étienne
1988-01-01,True,Jour de l'an
1988-04-01,True,Vendredi Saint
1988-04-04,True,Lundi de Pâques
1988-05-01,True,Fête du travail
1988-05-08,True,Victoire des alliés
1988-05-12,True,Ascension
1988-05-23,True,Lundi de Pentecôte
1988-07-14,True,Fête Nationale
1988-08-15,True,Assomption
1988-11-01,True,Toussaint
1988-11-11,True,Armistice
1988-12-25,True,Noël
1988-12-26,True,Saint Étienne
1989-01-01,True,Jour de l'an
1989-03-24,True,Vendredi Saint
1989-03-27,True,Lundi de Pâques
1989-05-01,True,Fête du travail
1989-05-04,True,Ascension
1989-05-08,True,Victoire des alliés
1989-05-15,True,Lundi de Pentecôte
1989-07-14,True,Fête Nationale
1989-08-15,True,Assomption
1989-11-01,True,Toussaint
1989-11-11,True,Armistice
1989-12-25,True,Noël
1989-12-26,True,Saint Étienne
1990-01-01,True,Jour de l'an
1990-04-13,True,Vendredi Saint
1990-04-16,True,Lundi de Pâques
1990-05-01,True,Fête du travail
1990-05-08,True,Victoire des alliés
1990-05-24,True,Ascension
1990-06-04,True,Lundi de Pentecôte
1990-07-14,True,Fête Nationale
1990-08-15,True,Assomption
1990-11-01,True,Toussaint
1990-11-11,True,Armistice
1990-12-25,True,Noël
1990-12-26,True,Saint Étienne
1991-01-01,True,Jour de l'an
1991-03-29,True,Vendredi Saint
1991-04-01,True,Lundi de Pâques
1991-05-01,True,Fête du travail
1991-05-08,True,Victoire des alliés
1991-05-09,True,Ascension
1991-05-20,True,Lundi de Pentecôte
1991-07-14,True,Fête Nationale
1991-08-15,True,Assomption
1991-11-01,True,Toussaint
1991-11-11,True,Armistice
1991-12-25,True,Noël
1991-12-26,True,Saint Étienne
1992-01-01,True,Jour de l'an
1992-04-17,True,Vendredi Saint
1992-04-20,True,Lundi de Pâques
1992-05-01,True,Fête du travail
1992-05-08,True,Victoire des alliés
1992-05-28,True,Ascension
1992-06-08,True,Lundi de Pentecôte
1992-07-14,True,Fête Nationale
1992-08-15,True,Assomption
1992-11-01,True,Toussaint
1992-11-11,True,Armistice
1992-12-25,True,Noël
1992-12-26,True,Saint Étienne
1993-01-01,True,Jour de l'an
1993-04-09,True,Vendredi Saint
1993-04-12,True,Lundi de Pâques
1993-05-01,True,Fête du travail
1993-05-08,True,Victoire des alliés
1993-05-20,True,Ascension
1993-05-31,True,Lundi de Pentecôte
1993-07-14,True,Fête Nationale
1993-08-15,True,Assomption
1993-11-01,True,Toussaint
1993-11-11,True,Armistice
1993-12-25,True,Noël
1993-12-26,True,Saint Étienne
1994-01-01,True,Jour de l'an
1994-04-01,True,Vendredi Saint
1994-04-04,True,Lundi de Pâques
1994-05-01,True,Fête du travail
1994-05-08,True,Victoire des alliés
1994-05-12,True,Ascension
1994-05-23,True,Lundi de Pentecôte
1994-07-14,True,Fête Nationale
1994-08-15,True,Assomption
1994-11-01,True,Toussaint
1994-11-11,True,Armistice
1994-12-25,True,Noël
1994-12-26,True,Saint Étienne
1995-01-01,True,Jour de l'an
1995-04-14,True,Vendredi Saint
1995-04-17,True,Lundi de Pâques
1995-05-01,True,Fête du travail
1995-05-08,True,Victoire des alliés
1995-05-25,True,Ascension
1995-06-05,True,Lundi de Pentecôte
1995-07-14,True,Fête Nationale
1995-08-15,True,Assomption
1995-11-01,True,Toussaint
1995-11-11,True,Armistice
1995-12-25,True,Noël
1995-12-26,True,Saint Étienne
1996-01-01,True,Jour de l'an
1996-04-05,True,Vendredi Saint
1996-04-08,True,Lundi de Pâques
1996-05-01,True,Fête du travail
1996-05-08,True,Victoire des alliés
1996-05-16,True,Ascension
1996-05-27,True,Lundi de Pentecôte
1996-07-14,True,Fête Nationale
1996-08-15,True,Assomption
1996-11-01,True,Toussaint
1996-11-11,True,Armistice
1996-12-25,True,Noël
1996-12-26,True,Saint Étienne
1997-01-01,True,Jour de l'an
1997-03-28,True,Vendredi Saint
1997-03-31,True,Lundi de Pâques
1997-05-01,True,Fête du travail
1997-05-08,True,Victoire des alliés
1997-05-19,True,Lundi de Pentecôte
1997-07-14,True,Fête Nationale
1997-08-15,True,Assomption
1997-11-01,True,Toussaint
1997-11-11,True,Armistice
1997-12-25,True,Noël
1997-12-26,True,Saint Étienne
1998-01-01,True,Jour de l'an
1998-04-10,True,Vendredi Saint
1998-04-13,True,Lundi de Pâques
1998-05-01,True,Fête du travail
1998-05-08,True,Victoire des alliés
1998-05-21,True,Ascension
1998-06-01,True,Lundi de Pentecôte
1998-07-14,True,Fête Nationale
1998-08-15,True,Assomption
1998-11-01,True,Toussaint
1998-11-11,True,Armistice
1998-12-25,True,Noël
1998-12-26,True,Saint Étienne
1999-01-01,True,Jour de l'an
1999-04-02,True,Vendredi Saint
1999-04-05,True,Lundi de Pâques
1999-05-01,True,Fête du travail
1999-05-08,True,Victoire des alliés
1999-05-13,True,Ascension
1999-05-24,True,Lundi de Pentecôte
1999-07-14,True,Fête Nationale
1999-08-15,True,Assomption
1999-11-01,True,Toussaint
1999-11-11,True,Armistice
1999-12-25,True,Noël
1999-12-26,True,Saint Étienne
2000-01-01,True,Jour de l'an
2000-04-21,True,Vendredi Saint
2000-04-24,True,Lundi de Pâques
2000-05-01,True,Fête du travail
2000-05-08,True,Victoire des alliés
2000-06-01,True,Ascension
2000-06-12,True,Lundi de Pentecôte
2000-07-14,True,Fête Nationale
2000-08-15,True,Assomption
2000-11-01,True,Toussaint
2000-11-11,True,Armistice
2000-12-25,True,Noël
2000-12-26,True,Saint Étienne
2001-01-01,True,Jour de l'an
2001-04-13,True,Vendredi Saint
2001-04-16,True,Lundi de Pâques
2001-05-01,True,Fête du travail
2001-05-08,True,Victoire des alliés
2001-05-24,True,Ascension
2001-06-04,True,Lundi de Pentecôte
2001-07-14,True,Fête Nationale
2001-08-15,True,Assomption
2001-11-01,True,Toussaint
2001-11-11,True,Armistice
2001-12-25,True,Noël
2001-12-26,True,Saint Étienne
2002-01-01,True,Jour de l'an
2002-03-29,True,Vendredi Saint
2002-04-01,True,Lundi de Pâques
2002-05-01,True,Fête du travail
2002-05-08,True,Victoire des alliés
